लोग: लोग 
एस्पैक्ट: एस्पैक्ट
रेशियो: रेशिय 
ट्वीटर: ट्वीटर
पांच: पांच
चाय: चाय
कप: कप 
फोटो: फोट 
रिप्रेजेंट: रिप्रेजेंट
पेटीएम: पेटीएम
मजा: मजा 
दोस्तों: दोस्त 
मर्चेंट्स: मर्चेंट्स
भेजी: भेजी 
पेमेंट: पेमेंट
पूछ: पूछ
प्लेटफॉर्म: प्लेटफॉर्म
फुल: फुल
सीनियर: सीनियर
वाइस: वाइस
प्रेसिंडेट: प्रेसिंडेट
दीपक: दीपक
अबॉट: अबॉट
बातचीत: बातचीत 
मजबूत: मजबूत
रिश्ता: रिश्ता 
मिलेगी: मिलेगी 
फाउंडर: फाउंडर
विजय: विजय 
शेखर: शेखर
शर्मा: शर्मा 
इनबॉक्स: इनबॉक्स
एंड्रॉयड: एंड्रॉयड
आईओएस: आईओएस
पॉपुलर: पॉपुलर
कड़ी: कड़ी 
चुनौती: चुनौती 
माना: माना 
मर्चेंट: मर्चेंट
कराया: कराया 
ग्लोबल: ग्लोबल
तिहाई: तिह 
दिसंबर: दिसंबर
बिल: बिल
पे: पा 
स्थापित: स्थापित
दिन: दिन 
पैसे: पैसा 
ट्रांसफर: ट्रांसफर
बना: बना 
लेगा: लेगा 
आबादी: आबादी 
अरब: अरब 
इनमें: इनमें 
एशिया: एशिया 
यूरोप: यूरोप 
मिडल: मिडल
ईस्ट: ईस्ट
आगे: आगा 
ईजात: ईजात
चार: चार
कंप्यूटरों: कंप्यूटर 
जोड़ा: जोड़ा 
जाल: जाल
फैल: फैल
सिर्फ: सिर्फ
मिलिट्री: मिलिट्री 
रक्षा: रक्षा 
विभाग: विभाग 
एडवांस्ड: एडवांस्ड
रिसर्च: रिसर्च
प्रोजेक्ट्स: प्रोजेक्ट्स
एजेंसी: एजेंसी 
'इंटरनेट': 'इंटरनेट'
आगाज: आगाज
अप्रानेट: अप्रानेट
APRANET: APRANET
बुलाया: बुलाया 
उद्देश्य: उद्देश्य 
रिचर्स: रिचर्स
एजुकेशन: एजुकेशन
बढ़ावा: बढ़ावा 
ARPANET: ARPANET
कमर्शियल: कमर्शियल
टेलनेट: टेलनेट
आदान: आदान
प्रदान: प्रदान
TCP: TCP
ट्रांसमिशन: ट्रांसमिशन
कंट्रोल: कंट्रोल
उपयोग: उपयोग 
इजाद: इजाद
विदेश: विदेश 
निगम: निगम
लिमिटेड: लिमिटेड
टेलीफोन: टेलीफोन
जोड़कर: जोड़ 
आगमन: आगमन
प्राइवेट: प्राइवेट
डिजिटलाइजेशन: डिजिटलाइजेशन
यहां: यह 
उपभोक्ताओं: उपभोक् उपभोक्त 
जाएगी: जाएगी 
यूनिवर्सिटीज: यूनिवर्सिटीज
हम: हम 
इक्विपमेंट्स: इक्विपमेंट्स
गैजेट्स: गैजेट्स
घिरे: घिरा 
रहते: रहता 
आपको: आपक 
अंदाजा: अंदाजा 
आस: आस
पास: पास 
कितने: कितना 
भारतीयों: भारतीय 
ईजाद: ईजाद
आइए: आइए
जानते: जानता 
कौन: कौन
वो: व 
जिन्होंने: जिन्होंने 
बुलंद: बुलंद
पेन: पेन
ड्राइव: ड्राइव
माउस: माउस
बोर्ड: बोर्ड 
जगहों: जगह 
USB: USB
केबल: केबल
अजय: अजय
भट्ट: भट्ट 
बड़ौदा: बड़ौदा 
ग्रेजुएशन: ग्रेजुएशन
इंटेल: इंटेल
फिलहाल: फिलहाल
चीफ: चीफ
I/O: I/O
आर्किटेक्ट: आर्किटेक्ट
दस: दस
आविष्कार: आविष्कार
टीवी: टीवी 
बैठकर: बैठ 
जिस: जिस
HD: HD
बेहतरीन: बेहतरीन
अनुभव: अनुभव
श्रेय: श्रेय
अरुण: अरुण
नेत्रवाली: नेत्रवाली 
IIT: IIT
मुंबई: मुंबई 
इलेक्ट्रिकल: इलेक्ट्रिकल
इंजीनियर: इंजीनियर
पढाई: पढ 
एनालॉग: एनालॉग
बदलने: बदलना 
एचडीटीवी: एचडीटीवी 
अविष्कार: अविष्कार
योगदान: योगदान 
नासा: नासा 
लुसेंट: लुसेंट
टेक्नोलॉजीज: टेक्नोलॉजीज
बेल: बेल
लैब्स: लैब्स
प्रतिष्ठित: प्रतिष्ठित
नरेंद्र: नरेंद्र 
सिंह: सिंह 
कपानी: कपानी 
साइंटिफिक: साइंटिफिक
लिखे: लिखा 
आर्टिकल: आर्टिकल
फाइबर: फाइबर
ऑप्टिक्स: ऑप्टिक्स
शब्द: शब्द
प्रसिद्ध: प्रसिद्ध
